ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C817A,10.0,,,
C8190,10.0,,,
C8191,10.0,,,
C8192,10.0,,,
C8193,10.0,,,
C8194,10.0,,,
C8195,10.0,,,
C8196,10.0,,,
C8197,10.0,,,
C8198,10.0,,,
C8199,10.0,,,
C819A,10.0,,,
C8200,10.0,,,
C8201,10.0,,,
C8202,10.0,,,
C8203,10.0,,,
C8204,10.0,,,
C8205,10.0,,,
C8206,10.0,,,
C8207,10.0,,,
C8208,10.0,,,
C8209,10.0,,,
C820A,10.0,,,
C8210,10.0,,,
C8211,10.0,,,
C8212,10.0,,,
C8213,10.0,,,
C8214,10.0,,,
C8215,10.0,,,
C8216,10.0,,,
C8217,10.0,,,
C8218,10.0,,,
C8219,10.0,,,
C821A,10.0,,,
C8220,10.0,,,
C8221,10.0,,,
C8222,10.0,,,
C8223,10.0,,,
C8224,10.0,,,
C8225,10.0,,,
C8226,10.0,,,
C8227,10.0,,,
C8228,10.0,,,
C8229,10.0,,,
C822A,10.0,,,
C8230,10.0,,,
C8231,10.0,,,
C8232,10.0,,,
C8233,10.0,,,
C8234,10.0,,,
C8235,10.0,,,
C8236,10.0,,,
C8237,10.0,,,
C8238,10.0,,,
C8239,10.0,,,
C823A,10.0,,,
C8240,10.0,,,
C8241,10.0,,,
C8242,10.0,,,
C8243,10.0,,,
C8244,10.0,,,
C8245,10.0,,,
C8246,10.0,,,
C8247,10.0,,,
C8248,10.0,,,
C8249,10.0,,,
C824A,10.0,,,
C8250,10.0,,,
C8251,10.0,,,
C8252,10.0,,,
C8253,10.0,,,
C8254,10.0,,,
C8255,10.0,,,
C8256,10.0,,,
C8257,10.0,,,
C8258,10.0,,,
C8259,10.0,,,
C825A,10.0,,,
C8260,10.0,,,
C8261,10.0,,,
C8262,10.0,,,
C8263,10.0,,,
C8264,10.0,,,
C8265,10.0,,,
C8266,10.0,,,
C8267,10.0,,,
C8268,10.0,,,
C8269,10.0,,,
C826A,10.0,,,
C8280,10.0,,,
C8281,10.0,,,
C8282,10.0,,,
C8283,10.0,,,
C8284,10.0,,,
C8285,10.0,,,
C8286,10.0,,,
C8287,10.0,,,
C8288,10.0,,,
C8289,10.0,,,
C828A,10.0,,,
C8290,10.0,,,
C8291,10.0,,,
C8292,10.0,,,
C8293,10.0,,,
C8294,10.0,,,
C8295,10.0,,,
C8296,10.0,,,
C8297,10.0,,,
C8298,10.0,,,
C8299,10.0,,,
C829A,10.0,,,
C8300,10.0,,,
C8301,10.0,,,
C8302,10.0,,,
C8303,10.0,,,
C8304,10.0,,,
C8305,10.0,,,
C8306,10.0,,,
C8307,10.0,,,
C8308,10.0,,,
C8309,10.0,,,
C830A,10.0,,,
C8310,10.0,,,
C8311,10.0,,,
C8312,10.0,,,
C8313,10.0,,,
C8314,10.0,,,
C8315,10.0,,,
C8316,10.0,,,
C8317,10.0,,,
C8318,10.0,,,
C8319,10.0,,,
C831A,10.0,,,
C8330,10.0,,,
C8331,10.0,,,
C8332,10.0,,,
C8333,10.0,,,
C8334,10.0,,,
C8335,10.0,,,
C8336,10.0,,,
C8337,10.0,,,
C8338,10.0,,,
C83390,10.0,,,
C83398,10.0,,,
C833A,10.0,,,
C8350,10.0,,,
C8351,10.0,,,
C8352,10.0,,,
C8353,10.0,,,
C8354,10.0,,,
C8355,10.0,,,
C8356,10.0,,,
C8357,10.0,,,
C8358,10.0,,,
C8359,10.0,,,
C835A,10.0,,,
C8370,10.0,,,
C8371,10.0,,,
C8372,10.0,,,
C8373,10.0,,,
C8374,10.0,,,
C8375,10.0,,,
C8376,10.0,,,
C8377,10.0,,,
C8378,10.0,,,
C8379,10.0,,,
C837A,10.0,,,
C8380,10.0,,,
C8381,10.0,,,
C8382,10.0,,,
C8383,10.0,,,
C8384,10.0,,,
C8385,10.0,,,
C8386,10.0,,,
C8387,10.0,,,
C8388,10.0,,,
C8389,10.0,,,
C838A,10.0,,,
C8390,10.0,,,
C8391,10.0,,,
C8392,10.0,,,
C8393,10.0,,,
C8394,10.0,,,
C8395,10.0,,,
C8396,10.0,,,
C8397,10.0,,,
